-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Latitude  26.9211   Longitude 75.7944 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2010,5.11,6.28,0.12,1.98,0.96,32.29,194.16,283.15,102.17,2.47,53.92,10.06,692.67
PRECTOTCORR_SUM,2011,0.0,22.19,1.66,4.03,8.98,82.89,168.78,158.05,178.14,0.06,0.0,0.08,624.86
PRECTOTCORR_SUM,2012,1.92,0.08,0.12,15.22,7.95,4.04,86.53,431.94,94.81,1.92,0.08,1.39,646.0
PRECTOTCORR_SUM,2013,6.64,25.38,5.16,8.87,5.29,125.42,168.13,261.9,55.07,18.05,2.41,1.76,684.08
PRECTOTCORR_SUM,2014,13.4,21.23,10.49,11.7,18.25,13.53,167.76,185.4,82.54,3.15,0.0,4.52,531.97
PRECTOTCORR_SUM,2015,18.31,1.94,69.44,24.73,4.68,70.99,176.6,91.49,12.15,22.81,0.99,0.83,494.96
PRECTOTCORR_SUM,2016,0.07,3.05,3.1,0.0,11.66,33.36,270.37,223.77,30.6,28.74,0.0,0.0,604.72
PRECTOTCORR_SUM,2017,16.96,0.0,12.54,3.28,47.49,80.3,136.96,132.17,33.0,0.0,0.4,6.41,469.51
PRECTOTCORR_SUM,2018,0.8,0.26,1.0,13.57,10.57,55.15,272.34,117.43,120.25,3.25,0.43,3.8,598.85
PRECTOTCORR_SUM,2019,9.14,1.8,4.59,19.98,10.24,25.03,335.42,254.55,80.02,8.48,6.65,7.93,763.83
PRECTOTCORR_SUM,2020,2.31,1.14,35.22,12.81,39.37,42.62,89.54,270.69,56.17,0.44,8.78,0.0,559.09
PRECTOTCORR_SUM,2021,23.42,0.01,6.12,2.07,88.87,37.29,285.13,179.69,177.15,28.27,2.96,4.13,835.11
PRECTOTCORR_SUM,2022,58.03,2.59,1.25,0.36,12.62,97.78,286.4,185.19,95.6,49.77,9.31,0.0,798.9
PRECTOTCORR_SUM,2023,30.28,0.0,90.96,10.97,90.45,109.17,293.68,29.16,77.62,4.43,5.18,2.45,744.35
PRECTOTCORR_SUM,2024,0.9,11.73,1.96,4.7,3.73,69.95,264.98,546.46,178.22,3.29,0.0,15.6,1101.52
T2M,2010,15.52,18.77,26.43,32.39,35.43,35.09,31.45,27.9,25.91,24.84,20.64,14.36,25.75
T2M,2011,12.98,17.17,23.77,29.02,34.95,34.63,30.04,27.97,26.2,24.88,21.98,15.96,24.99
T2M,2012,13.39,16.69,23.24,29.61,33.67,35.87,32.57,28.08,25.67,23.74,19.14,15.14,24.75
T2M,2013,12.49,16.17,23.44,29.33,33.93,33.25,30.43,27.31,27.25,24.99,19.49,16.01,24.55
T2M,2014,14.06,16.14,22.05,29.19,33.35,36.24,32.34,28.3,27.06,25.78,21.87,15.1,25.16
T2M,2015,13.49,18.36,21.3,27.9,34.24,33.91,30.13,29.1,29.36,27.02,21.46,16.17,25.23
T2M,2016,16.34,18.88,25.38,31.06,35.48,35.8,30.23,27.29,27.52,25.73,21.0,18.48,26.11
T2M,2017,14.71,18.52,23.99,31.22,34.32,33.57,30.59,29.01,28.58,26.84,21.11,16.79,25.8
T2M,2018,15.85,20.06,25.38,30.65,34.91,35.16,30.2,27.76,25.83,24.87,20.58,15.15,25.55
T2M,2019,13.84,16.57,22.23,30.71,33.67,35.96,31.09,27.71,27.2,24.41,21.2,13.11,24.83
T2M,2020,13.1,17.24,21.44,28.96,33.68,34.14,32.59,28.97,28.49,26.0,19.83,16.65,25.1
T2M,2021,14.65,20.22,26.49,30.07,31.98,33.49,31.62,28.04,26.78,24.52,19.55,14.89,25.21
T2M,2022,13.05,17.24,26.31,32.87,35.2,34.05,29.48,27.09,27.79,24.36,20.83,16.35,25.41
T2M,2023,13.43,19.91,23.58,27.86,31.15,30.91,29.17,27.89,28.96,26.18,21.17,16.76,24.76
T2M,2024,14.17,17.48,23.76,29.82,35.91,35.71,30.56,27.15,26.9,25.32,21.02,14.58,25.21
