-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Latitude  12.9767   Longitude 77.5753 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2010,5.56,0.0,3.44,93.34,84.88,96.85,107.91,157.54,140.86,123.14,138.72,16.87,969.11
PRECTOTCORR_SUM,2011,0.31,13.7,0.39,105.02,62.11,25.54,65.79,123.08,94.67,100.98,39.48,10.27,641.34
PRECTOTCORR_SUM,2012,0.3,0.0,3.15,35.27,56.62,27.17,53.35,92.81,58.37,115.0,29.03,17.62,488.69
PRECTOTCORR_SUM,2013,0.0,13.36,10.88,22.65,150.2,75.13,100.1,109.37,256.7,89.66,48.46,2.06,878.57
PRECTOTCORR_SUM,2014,0.04,0.28,5.32,6.28,83.58,90.67,49.81,65.13,144.47,138.57,15.77,5.98,605.9
PRECTOTCORR_SUM,2015,2.0,1.4,21.31,86.71,88.15,75.69,34.06,81.0,99.26,97.98,226.5,10.37,824.43
PRECTOTCORR_SUM,2016,2.63,0.0,23.09,3.83,112.48,138.68,142.2,41.83,33.68,25.68,1.94,60.78,586.82
PRECTOTCORR_SUM,2017,5.14,0.0,35.12,21.65,126.95,67.41,68.66,198.42,269.92,250.76,30.97,13.08,1088.08
PRECTOTCORR_SUM,2018,0.0,5.57,22.11,29.88,154.88,56.64,59.03,54.43,113.19,62.36,23.46,4.78,586.33
PRECTOTCORR_SUM,2019,10.53,17.44,0.1,38.62,104.04,55.09,56.37,133.53,161.31,187.52,40.29,13.23,818.07
PRECTOTCORR_SUM,2020,0.32,0.0,8.31,61.5,56.6,173.11,175.39,107.88,196.54,157.27,99.25,28.69,1064.86
PRECTOTCORR_SUM,2021,19.36,17.5,0.09,63.93,161.4,74.46,203.74,107.12,130.32,181.44,200.97,13.54,1173.87
PRECTOTCORR_SUM,2022,2.2,0.0,11.94,50.46,189.97,152.78,123.13,497.71,158.19,180.64,67.01,96.67,1530.7
PRECTOTCORR_SUM,2023,0.23,0.27,39.91,29.83,135.36,100.2,70.74,65.93,169.39,57.45,68.07,16.92,754.3
PRECTOTCORR_SUM,2024,3.36,0.0,0.0,0.1,116.14,148.02,61.55,189.82,49.52,227.41,41.53,101.31,938.76
T2M,2010,21.68,24.68,27.78,28.16,26.86,24.23,22.91,23.09,22.63,22.45,21.3,19.52,23.76
T2M,2011,20.14,21.97,26.23,27.48,26.75,24.4,23.37,23.16,23.41,23.02,21.24,20.62,23.49
T2M,2012,21.64,24.18,27.47,28.48,26.94,25.56,24.51,23.73,23.66,22.87,21.82,21.61,24.37
T2M,2013,22.47,23.82,27.12,29.37,26.89,23.04,22.42,22.95,22.3,22.24,20.88,19.79,23.6
T2M,2014,21.23,23.92,26.12,29.56,27.4,25.5,23.84,23.33,23.35,22.39,20.87,21.25,24.06
T2M,2015,21.62,23.02,25.92,26.96,26.03,24.28,24.81,24.52,24.28,23.1,21.13,20.71,23.87
T2M,2016,20.77,24.45,27.38,30.95,27.47,23.76,23.47,23.74,23.57,23.9,23.43,21.07,24.49
T2M,2017,21.31,23.14,26.35,29.78,27.32,24.3,24.39,23.58,22.84,21.95,20.83,19.09,23.74
T2M,2018,19.8,21.77,25.98,28.81,26.44,23.93,23.86,23.72,24.33,23.41,22.88,22.68,23.97
T2M,2019,21.4,24.7,28.55,29.33,28.07,25.91,24.41,23.43,23.1,22.55,21.88,21.57,24.57
T2M,2020,22.6,24.5,27.46,27.95,28.43,24.56,22.97,23.14,22.29,22.06,21.08,19.75,23.9
T2M,2021,20.9,21.63,25.94,27.68,26.07,23.87,23.08,23.14,22.95,22.82,21.33,19.81,23.27
T2M,2022,20.86,22.57,26.38,27.99,25.69,23.72,23.01,22.84,22.47,21.88,20.31,20.02,23.14
T2M,2023,18.82,21.88,24.86,28.0,26.85,25.59,23.94,25.39,23.4,23.49,23.15,22.3,23.98
T2M,2024,23.0,25.38,27.99,30.31,27.71,24.09,23.7,23.9,23.92,23.2,21.88,21.58,24.71
