-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Latitude  18.9691   Longitude 72.8212 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2010,0.35,0.01,6.01,0.49,8.08,665.27,1059.19,870.4,260.63,195.28,65.68,0.0,3131.39
PRECTOTCORR_SUM,2011,0.0,0.16,0.06,6.89,2.09,350.24,1082.23,640.35,348.26,167.73,0.41,0.0,2598.42
PRECTOTCORR_SUM,2012,0.0,0.0,0.0,2.45,1.82,235.55,570.48,398.65,408.34,206.88,0.34,0.0,1824.51
PRECTOTCORR_SUM,2013,0.0,6.73,0.78,0.02,0.4,931.53,882.43,238.71,314.87,88.56,4.2,2.2,2470.43
PRECTOTCORR_SUM,2014,0.75,0.42,3.96,2.1,12.81,75.82,1298.4,620.66,281.26,30.18,19.37,18.76,2364.49
PRECTOTCORR_SUM,2015,0.86,1.79,50.26,1.82,33.73,803.87,281.65,122.76,308.62,72.1,29.47,0.0,1706.93
PRECTOTCORR_SUM,2016,0.38,19.86,4.03,1.61,9.29,529.26,994.18,705.63,606.59,100.49,0.08,0.03,2971.43
PRECTOTCORR_SUM,2017,0.0,0.13,1.84,0.18,13.45,592.65,1016.47,668.56,471.95,136.32,0.94,47.27,2949.76
PRECTOTCORR_SUM,2018,2.08,6.39,1.49,1.01,5.18,538.92,970.56,423.83,99.73,21.65,6.6,0.19,2077.63
PRECTOTCORR_SUM,2019,0.27,0.26,0.67,3.65,0.42,436.69,1096.98,659.7,939.69,192.67,53.39,2.9,3387.29
PRECTOTCORR_SUM,2020,0.16,0.19,4.07,5.14,7.42,463.08,778.71,1203.36,364.06,180.35,0.48,12.23,3019.25
PRECTOTCORR_SUM,2021,8.27,11.38,2.32,7.67,328.62,656.34,1052.13,378.51,571.78,72.77,49.81,70.65,3210.25
PRECTOTCORR_SUM,2022,2.21,0.25,6.22,3.8,8.28,337.38,1252.25,577.84,521.33,188.61,0.74,5.47,2904.38
PRECTOTCORR_SUM,2023,0.18,0.19,16.03,9.36,11.44,453.08,1405.46,224.91,483.64,25.34,30.7,0.54,2660.87
PRECTOTCORR_SUM,2024,1.07,0.23,2.08,3.33,39.73,414.57,1361.02,629.17,480.51,194.78,0.59,5.11,3132.19
T2M,2010,23.54,25.03,29.45,31.34,32.12,28.52,26.74,26.38,26.57,26.64,25.74,21.53,26.97
T2M,2011,21.97,24.51,29.24,30.3,30.77,28.19,26.52,26.08,25.98,26.43,24.86,23.2,26.51
T2M,2012,21.5,25.2,27.83,30.52,30.43,29.13,26.85,26.21,25.97,26.4,24.0,23.35,26.45
T2M,2013,22.57,25.71,28.78,29.75,31.21,27.51,25.94,25.76,26.22,26.22,24.46,22.84,26.41
T2M,2014,23.15,24.79,28.46,30.78,31.47,30.46,27.21,26.19,26.17,26.66,25.11,23.07,26.97
T2M,2015,22.88,25.97,28.03,30.07,31.4,28.35,26.95,26.53,26.51,27.46,25.39,23.88,26.95
T2M,2016,23.49,25.65,29.19,30.52,31.46,29.21,26.3,25.89,25.62,24.98,23.03,23.35,26.56
T2M,2017,23.34,26.96,28.45,30.36,31.54,28.54,26.63,26.16,26.7,26.64,23.55,22.3,26.76
T2M,2018,23.07,26.01,29.21,30.89,31.38,28.59,26.3,25.74,25.94,26.92,25.81,23.39,26.94
T2M,2019,23.38,25.35,28.04,30.88,31.03,29.84,26.93,26.27,26.32,26.39,25.18,23.91,26.96
T2M,2020,21.67,25.17,27.62,31.56,32.2,28.13,26.93,26.35,26.52,26.94,24.84,23.24,26.76
T2M,2021,24.23,25.35,29.88,31.06,30.72,27.82,26.86,26.2,26.22,26.27,25.42,22.42,26.88
T2M,2022,21.28,23.56,29.83,31.74,31.18,28.89,26.35,26.09,26.2,25.41,23.23,23.79,26.47
T2M,2023,22.2,26.46,28.35,30.76,31.29,29.7,26.7,26.27,26.6,26.52,25.16,24.12,27.0
T2M,2024,23.76,26.45,28.51,32.14,32.16,29.39,27.01,26.79,26.4,27.24,23.72,22.92,27.2
