-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2024 in LST
Location: Latitude  25.4422   Longitude 81.8409 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 95.42 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
T2M                 MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2010,4.65,20.13,0.0,0.31,9.18,13.03,197.92,142.26,99.7,22.67,14.48,1.62,525.95
PRECTOTCORR_SUM,2011,0.05,4.74,0.81,2.78,21.73,257.13,238.26,279.04,231.89,1.94,0.0,2.99,1041.36
PRECTOTCORR_SUM,2012,38.65,2.09,2.98,9.51,0.26,13.76,375.92,269.04,332.57,2.32,0.28,0.0,1047.38
PRECTOTCORR_SUM,2013,2.93,63.63,11.01,4.26,2.93,315.14,246.35,271.15,62.4,217.86,0.0,1.71,1199.37
PRECTOTCORR_SUM,2014,59.51,46.03,5.68,0.72,5.47,35.29,207.87,134.73,118.75,86.26,0.0,23.12,723.43
PRECTOTCORR_SUM,2015,49.7,5.52,35.23,50.64,9.43,97.92,219.68,168.02,29.97,13.08,1.61,2.28,683.08
PRECTOTCORR_SUM,2016,11.96,2.5,23.96,0.0,18.7,48.21,368.67,354.74,230.64,9.87,0.0,0.0,1069.25
PRECTOTCORR_SUM,2017,6.66,0.26,1.66,2.05,11.9,59.55,465.64,153.55,79.26,4.59,0.0,0.01,785.13
PRECTOTCORR_SUM,2018,0.3,6.7,0.43,10.25,17.89,77.04,270.86,268.56,140.6,0.95,0.0,0.02,793.6
PRECTOTCORR_SUM,2019,12.82,11.7,9.29,4.73,1.67,29.54,295.49,236.26,440.0,37.19,0.0,31.78,1110.47
PRECTOTCORR_SUM,2020,15.87,12.79,31.27,37.13,48.96,289.62,221.43,204.89,149.34,9.7,3.53,8.17,1032.7
PRECTOTCORR_SUM,2021,0.02,1.1,0.27,2.17,134.16,261.22,211.18,214.49,165.02,67.41,0.0,11.54,1068.58
PRECTOTCORR_SUM,2022,23.26,5.25,0.0,0.0,14.24,148.34,174.2,259.04,183.95,67.93,0.0,0.01,876.22
PRECTOTCORR_SUM,2023,3.11,0.0,60.32,23.8,36.72,96.35,204.35,197.33,108.83,56.73,10.43,9.07,807.04
PRECTOTCORR_SUM,2024,6.54,30.65,15.92,0.04,3.74,61.45,280.38,328.23,174.05,3.61,0.0,3.72,908.33
T2M,2010,15.74,20.19,28.45,34.54,37.56,38.27,32.52,29.7,28.16,26.93,23.35,16.9,27.72
T2M,2011,15.39,20.82,26.99,31.9,37.1,34.44,29.49,28.38,27.59,24.62,20.34,15.83,26.09
T2M,2012,15.05,18.51,25.15,32.59,36.58,38.82,31.0,28.64,27.21,24.01,18.7,15.76,26.01
T2M,2013,14.69,19.26,25.59,32.26,36.84,33.36,29.27,28.56,28.29,24.83,18.37,15.79,25.62
T2M,2014,15.08,17.56,23.9,32.13,36.59,38.4,32.09,30.09,29.06,26.64,21.35,15.57,26.57
T2M,2015,15.0,20.71,24.48,30.23,36.83,37.15,30.43,29.65,30.17,28.65,24.9,18.27,27.22
T2M,2016,17.79,22.27,28.03,34.7,37.13,36.65,29.86,28.53,27.72,24.31,18.05,15.1,26.67
T2M,2017,16.08,20.21,26.22,34.29,37.75,36.88,29.23,28.69,28.28,27.05,21.58,17.89,27.03
T2M,2018,16.55,22.17,28.25,33.04,36.61,37.2,31.69,28.79,27.39,25.45,21.49,16.13,27.07
T2M,2019,15.63,20.15,25.46,33.09,36.97,38.03,31.06,29.1,27.69,24.15,20.21,13.88,26.3
T2M,2020,13.26,16.47,24.04,30.66,34.51,31.26,29.14,28.88,28.23,26.53,21.05,17.08,25.11
T2M,2021,17.38,21.6,28.75,32.48,32.44,31.19,29.87,28.66,28.17,24.9,18.68,15.58,25.82
T2M,2022,14.09,18.34,27.7,35.04,36.34,35.77,31.25,28.77,27.75,24.51,19.55,16.17,26.3
T2M,2023,15.36,20.9,26.14,30.09,33.47,36.15,30.93,28.85,28.73,26.13,22.85,17.58,26.44
T2M,2024,15.22,19.22,25.42,33.36,36.37,37.94,30.76,28.85,28.25,25.85,21.03,16.38,26.55
